Country,health,military,GDP
Afghanistan,2.52,0.94,75.09
Albania,1.53,0.51,36.94
Algeria,30.26,29.76,436.03
Angola,4.12,3.42,206.08
Argentina,46.85,6.94,937.83
Armenia,1.03,1.98,37.37
Australia,64.04,23.76,1162.96
Austria,25.88,3.47,466.45
Azerbaijan,3.88,5.79,135.1
Bahamas,0.33,0,13.9
Bahrain,1.56,2.75,70.05
Bangladesh,12,11.76,881.15
Barbados,0.14,0,4.31
Belarus,9.04,2.18,170.38
Belgium,38.07,5.37,553.27
Belize,0.2,0.03,2.56
Benin,1.15,0.27,37.37
Bhutan,0.51,0,8.54
Bolivia,8.94,1.41,90.1
Bosnia and Herzegovina,0,0.44,48.73
Botswana,2.61,1.06,34.12
Brazil,189.4,46.65,2874.01
Brunei,1.19,0.89,24.83
Bulgaria,6.62,5.19,150.48
Burkina Faso,2.52,1.06,40.63
Burundi,0.46,0.16,8.05
Cabo Verde,0.19,0,3.76
Cambodia,1.56,1.66,69.13
Cameroon,2.98,1.07,92.8
Canada,0,24.04,1824.87
Central African Republic,0.08,0.07,4.34
Chad,0.6,0.55,24.04
Chile,25.66,8.5,438.33
China,796.24,427.36,21269.02
Colombia,33.06,23.47,677.02
Comoros,0.07,0,2.54
Congo (Dem. Rep.),2.33,2.57,90.38
Congo (Rep.),0.74,0.14,19.7
Costa Rica,7.19,0,98.66
Cote d'Ivoire,4.98,1.47,127.59
Croatia,4.66,2.03,112.57
Cuba,0,0,0
Cyprus,2.09,0.59,33.94
Czech Republic,18.67,5.25,413.42
Denmark,22.57,4.32,305.47
Djibouti,0.19,0.19,4.75
Dominican Republic,7.99,1.38,188.36
Ecuador,8.35,4.54,184.66
Egypt,30.82,14.17,1135.9
El Salvador,1.92,0.68,54.04
Equatorial Guinea,0,0.28,24.94
Eritrea,0,0,0
Estonia,2.54,1.01,44.74
Eswatini,0.56,0.18,9.2
Ethiopia,12.62,1.49,234.86
Fiji,0.62,0.19,11.37
Finland,16.85,4.02,247.38
France,167.42,58.8,2868.43
Gabon,0.89,0.52,31.06
