"indicator","ISO Country code","GDP ($ USD billions PPP) 2018","GDP ($ USD billions PPP) 2019","GDP ($ USD billions PPP) 2020","GDP ($ USD billions PPP) 2021","GDP per capita in $ (PPP) 2018","GDP per capita in $ (PPP) 2019","GDP per capita in $ (PPP) 2020","GDP per capita in $ (PPP) 2021","health expenditure % of GDP 2014","health expenditure % of GDP 2015","health expenditure % of GDP 2016","health expenditure % of GDP 2017","health expenditure % of GDP 2018","health expenditure % of GDP 2019","health expenditure % of GDP 2020","health expenditure % of GDP 2021","health expenditure % of GDP 2021 or latest","health expenditure per person 2015","health expenditure per person 2018","health expenditure per person 2019","unemployment (%) 2018","unemployment (%) 2021","Military Spending as % of GDP 2021","Military Spending as % of GDP 2019"
"Afghanistan","AFG","75.60","78.60","76.70","75.60","2,082","2,152","2,078","2,105","3.70","3.26","3.51","3.37","3.20","3.21","0","0","3.21","184","70","65.80","8.50","13.28","0.00%","1.20%"
"Albania","ALB","38.20","39","37.60","40.80","13,498","13,999","13,632","15,646","3.05","3.44","3.96","3.61","0","3.92","3.10","0","3.92","774","274.90","0","16.30","11.82","1.42%","1.30%"
"Algeria","DZA","491.10","496.10","470.80","488.90","11,909","12,008","11,323","12,037","0","0","7.34","6.51","5.87","6.10","0","0","6.10","1,031","256","248.20","11.20","12.70","5.59%","6.00%"
"Angola","AGO","215.10","213.60","201.90","203.30","7,149","6,995","6,478","6,581","3.12","3.49","2.75","2.47","2.04","1.93","2.42","0","2.42","196","87.30","71.30","6.60","8.53","1.13%","1.60%"
"Argentina","ARG","1,012.1","991.60","893.50","985.20","23,291","22,997","20,769","23,627","5.36","5.78","5.55","5.45","4.88","4.72","0","0","4.72","1,390","1,127.9","946","6.60","10.90","0.57%","0.70%"
"Armenia","ARM","37.50","40.40","37.40","39.50","13,019","14,230","13,311","14,630","2.25","2.81","2.76","2.71","2.26","2.56","2.71","0","2.71","883","422.30","524","16.80","20.90","4.44%","4.90%"
"Australia","AUS","1,224.9","1,250.8","1,250.7","1,269.2","50,169","51,748","53,317","55,807","5.16","5.32","5.29","5.14","5.12","0","0","0","5.12","4,492","5,364.5","5,427.5","5.70","5.11","1.98%","1.90%"
"Austria","AUT","488.50","495.80","462.40","483.10","56,960","58,076","55,686","58,427","5.45","5.46","5.48","5.37","5.22","0","0","0","5.22","5,138","5,322.3","5,242.2","6.10","6.30","0.80%","0.70%"
"Azerbaijan","AZE","141.20","144.80","138.50","146.30","14,549","15,052","14,479","15,843","2.63","2.95","2.90","2.47","2.46","2.68","0","0","2.46","1,191","168.40","193.10","5.10","6.58","5.27%","4.00%"
"Bahamas","BHS","14","14.20","10.80","12.30","37,066","38,064","29,065","34,108","2.50","2.25","2.33","2.42","2.25","2.29","2.37","2.78","2.78","1,699","2,002.4","2,004.6","15.30","13.24","0.00%","0.00%"
"Bahrain","BHR","72.80","74.40","70.70","72.30","47,486","47,224","43,821","45,411","2.47","2.67","2.87","2.32","2.37","2.09","2.15","0","2.15","2,453","994.20","940.40","1.30","1.87","3.56%","3.70%"
"Bangladesh","BGD","838.80","904.90","936.10","1,001.1","5,322","5,784","5,995","6,613","0","0","1.54","0","0","1.33","0","0","1.33","88","41.90","45.90","4.10","5.23","1.27%","1.30%"
